Adv Roll No,CRL,SC
245058146,85,1
246124056,202,2
246133127,249,3
246094025,354,4
242013222,364,5
241014166,472,6
242020175,633,7
241037012,715,8
242045094,728,9
246157576,763,10
245054061,771,11
246154129,806,12
242051274,837,13
244036114,920,14
246023010,928,15
241004004,997,16
245057226,1037,17
241139002,1100,18
246207066,1114,19
246142074,1144,20
247019009,1308,21
245039141,1382,22
242031228,1395,23
241101350,1398,24
246157667,1408,25
246019037,1414,26
241109579,1463,27
244033087,1468,28
242075712,1505,29
244049030,1565,30
245024033,1608,31
247001017,1670,32
241105144,1812,33
241107067,1984,34
244046307,1985,35
241050053,1987,36
245014025,1988,37
247018394,2003,38
242026051,2053,39
241131040,2064,40
247003322,2131,41
241042025,2176,42
246088362,2299,43
246183040,2347,44
246052261,2348,45
241102356,2432,46
241032193,2495,47
242069035,2502,48
241004030,2532,49
242103211,2533,50
246153396,2536,51
245065465,2543,52
246119187,2564,53
246162380,2612,54
241017121,2651,55
242009097,2712,56
245063077,2716,57
242078136,2725,58
244015038,2732,59
241043231,2744,60
245062341,2794,61
246128026,2836,62
243024399,2880,63
246129195,2926,64
241007113,2936,65
244015148,2971,66
243023006,3010,67
246027067,3029,68
246158603,3066,69
246149256,3085,70
242042088,3108,71
242096098,3125,72
246045088,3126,73
241128107,3131,74
241109524,3196,75
242052077,3220,76
243052275,3235,77
245031161,3265,78
246174070,3316,79
242014049,3340,80
245010372,3387,81
247053331,3409,82
245049133,3423,83
242083340,3474,84
244012040,3475,85
246016036,3571,86
241003169,3577,87
246032141,3602,88
241058120,3617,89
243052446,3649,90
242017385,3652,91
242034333,3710,92
246035057,3764,93
246173019,3939,94
245064021,3968,95
241071158,3989,96
246045040,4004,97
245062360,4078,98
245010631,4186,99
241135567,4196,100
241028142,4293,101
246154184,4296,102
246161508,4387,103
242051096,4401,104
245006324,4445,105
244002167,4493,106
245056272,4511,107
245052358,4525,108
245020472,4548,109
245058160,4562,110
241111002,4574,111
245063539,4681,112
245032344,4697,113
245002113,4709,114
242008229,4740,115
247027187,4769,116
246020095,4773,117
241052241,4810,118
246090203,4841,119
241137033,4891,120
241053091,4953,121
245066381,5097,122
241051088,5100,123
242056032,5160,124
241130050,5278,125
247003386,5305,126
242054178,5322,127
243031274,5426,128
241042193,5438,129
247024286,5441,130
245064229,5471,131
247050010,5520,132
241112332,5547,133
242056463,5587,134
241111146,5627,135
246128058,5639,136
241135635,5647,137
246094185,5685,138
246163637,5722,139
243052568,5729,140
246156303,5764,141
241128032,5856,142
241094018,5955,143
