Adv Roll No,CRL,ST
242059343,105,1
247004571,373,2
246150040,446,3
246162238,494,4
246157391,972,5
242087193,1175,6
246129147,1537,7
241109307,1592,8
242047167,1759,9
241013077,3011,10
241060014,3976,11
246171184,4383,12
241109173,4784,13
244035195,4852,14
243052652,5345,15
246198103,5422,16
242069304,5794,17
242022180,5817,18
246152039,6268,19
241041049,6379,20
242052019,6677,21
243025332,6893,22
241134251,7297,23
242057103,7399,24
242043300,7608,25
246065349,7619,26
246141373,7642,27
246149546,7940,28
246155066,7949,29
241133470,8025,30
246176117,8352,31
246132023,8595,32
246134111,8608,33
242054037,8676,34
246119328,8856,35
245064097,9152,36
241046084,9277,37
246154444,9354,38
246138019,9466,39
246138031,9549,40
241111174,9881,41
242068195,9901,42
241048107,10322,43
242054309,10379,44
246175233,10420,45
246048279,10423,46
243003323,10449,47
245020389,10469,48
247025050,10539,49
242054051,10578,50
241080332,10584,51
242012315,10826,52
241046055,10908,53
246180105,10919,54
242072126,11028,55
242054343,11043,56
246157313,11140,57
246153018,11161,58
246132007,11230,59
242077273,11326,60
242053174,11411,61
246056118,11452,62
246121070,11555,63
246196137,12300,64
246123002,12323,65
242014089,12331,66
241043133,12337,67
246123325,12410,68
246021023,12786,69
246157323,12808,70
241053266,12989,71
241059030,13080,72
242054188,13176,73
246172027,13190,74
241055011,13231,75
246161642,13242,76
245005343,13253,77
246159145,13320,78
246140131,13684,79
246130144,13728,80
246052406,14549,82
241023401,14845,83
241116421,14977,84
241056059,15070,85
242072445,15183,86
245029595,15258,87
246159144,15265,88
246144242,15285,89
241116377,15379,90
241114145,15441,91
242052351,15501,92
245066329,15593,93
242075688,15660,94
245010470,15731,95
246144025,15790,96
241053055,15813,97
242054024,15825,98
247003455,15932,99
244057515,15950,100
246128054,15978,101
246171122,16035,102
246162547,16059,103
242050359,16082,104
242072185,16108,105
241041215,16398,106
246193047,16504,107
246150046,16546,108
241136113,16557,109
243037114,16576,110
242014322,16604,111
241056079,16709,112
241049714,16914,113
241127122,17222,114
242001115,17356,115
241024053,17513,116
241050009,17517,117
242074241,17630,118
246159241,17635,119
246133043,17646,120
242053350,17734,121
246020086,17805,122
246157070,17876,123
242064020,18431,124
241041175,18509,125
246149553,18777,126
242082146,18779,127
246149352,18822,128
246014095,18838,129
245066309,18900,130
246119182,18951,131
243034066,19148,132
241118112,19227,133
245063327,19248,134
246150386,19527,135
246149447,19528,136
241043263,19584,137
247044341,19667,138
246098046,19740,139
246131163,19788,140
242085188,19898,141
242088159,20042,142
246127147,20244,143
246124121,20265,144
246129362,20282,145
243003431,20390,146
246052387,20718,147
246198081,20842,148
241133432,20907,149
245030024,20968,150
242069390,20992,151
241049347,21343,152
247021297,21367,153
246157228,21490,154
242100014,21494,155
241128237,21515,156
242054056,21634,157
242057228,21698,158
242058312,21744,159
246147036,21929,160
246140157,21989,161
246157177,22330,162
247027183,22740,163
246176015,22874,164
242072233,22889,165
246119177,22927,166
246175184,22943,167
246129159,22948,168
242082278,22955,169
246129217,23139,170
241023417,23196,171
244054257,23199,172
246163108,23200,173
242057143,23220,174
243044043,23367,175
246029520,23443,176
242051349,23451,177
246132034,23682,178
246176088,23804,179
243053116,23830,180
246145050,23873,181
246163615,23941,182
247011441,23948,183
246157683,24015,184
241053276,24058,185
246021082,24120,186
242018344,24185,187
242064029,24197,188
242064351,24288,189
242091053,24406,190
242086301,24624,191
244002034,24789,192
246163560,24853,193
242058103,25070,194
243028047,25094,195
246051063,25244,196
246194099,25298,197
241049707,25478,198
247005022,25617,199
245029072,25641,200
242051296,25714,201
247051209,25730,202
242052029,25853,203
242060075,25883,204
242064192,25894,205
