Adv Roll No,ST
242059343,1
247004571,2
246150040,3
246162238,4
246157391,5
242087193,6
246129147,7
241109307,8
242047167,9
241013077,10
241060014,11
246171184,12
241109173,13
244035195,14
243052652,15
246198103,16
242069304,17
242022180,18
246152039,19
241041049,20
242052019,21
243025332,22
241134251,23
242057103,24
242043300,25
246065349,26
246141373,27
246149546,28
246155066,29
241133470,30
246176117,31
246132023,32
246134111,33
242054037,34
246119328,35
245064097,36
241046084,37
246154444,38
246138019,39
246138031,40
241111174,41
242068195,42
241048107,43
242054309,44
246175233,45
246048279,46
243003323,47
245020389,48
247025050,49
242054051,50
241080332,51
242012315,52
241046055,53
246180105,54
242072126,55
242054343,56
246157313,57
246153018,58
246132007,59
242077273,60
242053174,61
246056118,62
246121070,63
246196137,64
246123002,65
242014089,66
241043133,67
246123325,68
246021023,69
246157323,70
241053266,71
241059030,72
242054188,73
246172027,74
241055011,75
246161642,76
245005343,77
246159145,78
246140131,79
246130144,80
241117005,81
246052406,82
241023401,83
241116421,84
241056059,85
242072445,86
245029595,87
246159144,88
246144242,89
241116377,90
241114145,91
242052351,92
245066329,93
242075688,94
245010470,95
246144025,96
241053055,97
242054024,98
247003455,99
244057515,100
246128054,101
246171122,102
246162547,103
242050359,104
242072185,105
241041215,106
246193047,107
246150046,108
241136113,109
243037114,110
242014322,111
241056079,112
241049714,113
241127122,114
242001115,115
241024053,116
241050009,117
242074241,118
246159241,119
246133043,120
242053350,121
246020086,122
246157070,123
242064020,124
241041175,125
246149553,126
242082146,127
246149352,128
246014095,129
245066309,130
246119182,131
243034066,132
241118112,133
245063327,134
246150386,135
246149447,136
241043263,137
247044341,138
246098046,139
246131163,140
242085188,141
242088159,142
246127147,143
246124121,144
246129362,145
243003431,146
246052387,147
246198081,148
241133432,149
245030024,150
242069390,151
241049347,152
247021297,153
246157228,154
242100014,155
241128237,156
242054056,157
242057228,158
242058312,159
246147036,160
246140157,161
246157177,162
247027183,163
246176015,164
242072233,165
246119177,166
246175184,167
246129159,168
242082278,169
246129217,170
241023417,171
244054257,172
246163108,173
242057143,174
243044043,175
246029520,176
242051349,177
246132034,178
246176088,179
243053116,180
246145050,181
246163615,182
247011441,183
246157683,184
241053276,185
246021082,186
242018344,187
242064029,188
242064351,189
242091053,190
242086301,191
244002034,192
246163560,193
242058103,194
243028047,195
246051063,196
246194099,197
241049707,198
247005022,199
245029072,200
242051296,201
247051209,202
242052029,203
242060075,204
242064192,205
244014166,206
246162314,207
242004369,208
245018141,209
246135077,210
241049212,211
246160246,212
246136125,213
242099081,214
242062001,215
246140130,216
246171250,217
246139157,218
246015017,219
246120246,220
241111061,221
246119353,222
245016012,223
242052304,224
246123155,225
246181123,226
241057003,227
241044054,228
246141337,229
246159397,230
246149371,231
242049257,232
244077042,233
241104276,234
242081397,235
242058466,236
242020293,237
246157343,238
242058415,239
242066010,240
246171096,241
247004568,242
246149355,243
242027272,244
242064034,245
246047019,246
242101281,247
242067079,248
242007153,249
246122059,250
242056414,251
246134195,252
246039668,253
246163176,254
246023011,255
245057309,256
246141002,257
242009066,258
245016266,259
246054088,260
241045019,261
241108212,262
246144245,263
242035127,264
246152083,265
243007112,266
246172094,267
246162164,268
241063024,269
242067224,270
241049518,271
246123068,272
241144145,273
242055042,274
244034076,275
241053129,276
246150084,277
242017347,278
244029177,279
241042056,280
241006204,281
245032019,282
241055050,283
246154177,284
246014015,285
241049405,286
244014076,287
246149366,288
244042022,289
242043312,290
246144233,291
246161695,292
244015656,293
246155043,294
246134189,295
242013152,296
246172032,297
247024037,298
246159211,299
246119273,300
246133112,301
246203051,302
246129043,303
246156355,304
246118215,305
244020325,306
246150373,307
246050004,308
242100047,309
243007069,310
241109206,311
242100035,312
247003262,313
243004368,314
242063040,315
241044141,316
246119337,317
241013167,318
246171146,319
242072094,320
246127066,321
242052012,322
241102349,323
244002042,324
243003354,325
246139058,326
242088350,327
246119194,328
242074248,329
242032289,330
245024612,331
242058240,332
243003034,333
242083255,334
242073105,335
246141347,336
246175148,337
246182001,338
241049556,339
241138191,340
246171256,341
246122157,342
241051021,343
246160048,344
246177040,345
244014123,346
246177076,347
246135014,348
244020343,349
246158401,350
247005103,351
241077145,352
242068198,353
247029195,354
241069361,355
241054206,356
241088092,357
242064336,358
242077176,359
241041021,360
243002251,361
242053027,362
244004172,363
241049203,364
241137005,365
246171135,366
243044092,367
241133133,368
246202039,369
246162535,370
246027227,371
246191136,372
246144157,373
244009126,374
245049082,375
244051064,376
246124054,377
247025195,378
246032146,379
241105027,380
245030361,381
246155079,382
246147145,383
246159570,384
246194016,385
247003447,386
246157582,387
241070216,388
242088258,389
242063280,390
246123044,391
242083185,392
246054157,393
245029283,394
246119121,395
246169088,396
242088243,397
241014152,398
242051198,399
241034136,400
246158190,401
246021049,402
246120114,403
241030130,404
241045129,405
242078075,406
246127060,407
242091049,408
246174057,409
242051326,410
245026034,411
245025023,412
241155040,413
241071290,414
246057087,415
243003363,416
246172257,417
242018314,418
246174079,419
242065061,420
246159070,421
246153230,422
246052405,423
244015037,424
242068130,425
246147120,426
242067126,427
245033003,428
245049252,429
242045402,430
241073020,431
246029514,432
246173096,433
242054089,434
242063201,435
242099043,436
244020392,437
242059249,438
246049217,439
243003414,440
246123212,441
246084093,442
246048132,443
245049085,444
246199089,445
242043403,446
242068024,447
246172045,448
242036349,449
246154342,450
246103260,451
242063200,452
246134139,453
246006095,454
246146052,455
242057305,456
242073083,457
246160428,458
245022147,459
244039158,460
246157610,461
241138156,462
242084107,463
246197103,464
242074225,465
241038174,466
246158700,467
241050159,468
246122128,469
242056113,470
242075626,471
246158347,472
245023377,473
246200012,474
246135311,475
242036297,476
246012041,477
245065120,478
246158165,479
242014108,480
245021031,481
242096057,482
246156375,483
246148065,484
242063005,485
246011053,486
242091177,487
247036024,488
246012160,489
241087174,490
241007112,491
245008146,492
242036222,493
246157052,494
242014365,495
246088095,496
246177077,497
242065183,498
246144208,499
241107130,500
246098037,501
246006159,502
246062050,503
246154418,504
246162599,505
241135142,506
246153137,507
242061054,508
242092133,509
245010240,510
242039053,511
242036270,512
244021388,513
246122098,514
242042252,515
241101586,516
246124077,517
246154330,518
246180046,519
244008250,520
241128204,521
242080101,522
246131176,523
246129234,524
242054047,525
245066433,526
246131150,527
244011196,528
242092087,529
246180072,530
246091253,531
242057053,532
247014048,533
242068052,534
242079130,535
242058357,536
246155015,537
246017086,538
246161059,539
246156663,540
247050109,541
242065209,542
241123096,543
245023281,544
246167312,545
246053422,546
241055033,547
245008141,548
241008125,549
242084052,550
246159246,551
242074114,552
241046010,553
247004413,554
246153074,555
246149391,556
246161530,557
246163249,558
242019512,559
242072124,560
245023202,561
243005111,562
246161418,563
246124042,564
243005025,565
242055085,566
241091027,567
242054297,568
247016077,569
244073124,570
241106111,571
242054125,572
246139209,573
246149374,574
246152051,575
245005287,576
242014521,577
246173045,578
246055072,579
241025161,580
246172162,581
243031287,582
246149217,583
246133028,584
246129177,585
245020369,586
242057294,587
242067354,588
246146005,589
246141281,590
242014353,591
246153469,592
242050180,593
242055365,594
241134060,595
241051073,596
242018275,597
242080075,598
245023105,599
246023169,600
242046076,601
241070627,602
245021092,603
244025158,604
246118043,605
243021126,606
246049022,607
242068133,608
246162586,609
247027014,609
242064138,611
246139229,612
246158177,613
245064078,614
246118217,615
246120170,616
246157680,617
246195023,618
246139111,619
246141369,620
242055278,621
244013109,622
242015238,623
243001185,624
246139183,625
242095189,626
245011074,627
242066152,628
246126063,629
246127061,630
242042312,631
246161543,632
242043598,633
246119061,634
246162035,635
246140119,636
246039072,637
241023388,638
242083085,639
242067226,640
246160222,641
241135506,642
246129358,643
241004382,644
244020382,645
246172103,646
246050063,647
246053480,648
246143092,649
246036099,650
242100063,651
246035306,652
242055162,653
246163321,654
241153065,655
242100085,656
246196071,657
247025253,658
243052186,659
241142068,660
241062083,661
242043526,662
246161325,663
242053230,664
242100057,665
243052001,666
241022097,667
242082067,668
241138226,669
243003434,670
246161078,671
244029022,672
246123245,673
246153268,674
242043246,675
242021299,676
242083353,677
246158226,678
242062053,679
241101517,680
245016053,681
242046009,682
246133061,683
243007117,684
246179003,685
241064407,686
246126027,687
247016098,688
242021030,689
245024639,690
242058387,691
245056261,692
241017154,693
246139198,694
246157548,695
246138060,696
246156238,697
244009027,698
242088233,699
244044176,700
242050019,701
246192056,702
242091173,703
242095040,704
242037039,705
243001096,706
245015124,707
245059066,708
241049357,709
241070710,710
246132085,711
247026112,712
245023263,713
241136059,714
246051086,715
246162201,716
242054055,717
246160604,718
246123207,719
243044071,720
246051073,721
246162673,722
246119096,723
246161616,724
241038202,725
247046025,726
244031075,727
246197102,728
246125015,729
241067026,730
246047097,731
245002315,732
241041162,733
244036120,734
241051078,735
246135279,736
246163068,737
246131189,738
242060251,739
246122069,740
246163153,741
247042241,742
246167371,743
243004219,744
246156261,745
242064218,746
246159082,747
244001048,748
241060017,749
241151040,750
246123220,751
246065338,752
241134495,753
246149170,754
242063162,755
246173048,756
246149190,757
246149349,758
242067332,759
245010395,760
247003251,761
241034091,762
242005371,763
242056380,764
242043472,765
246140152,766
241042014,767
246191007,768
245011094,769
246134120,770
244025368,771
242018470,772
241114216,773
246118112,774
243001161,775
245020306,776
246157061,777
241028080,778
246163217,779
246154192,780
246054012,781
242057167,782
246135061,783
246035209,784
243048128,785
246126035,786
241014067,787
242091159,788
246177064,789
242053112,790
241058126,791
246191032,792
246123064,793
246154057,794
242073141,795
246196073,796
246189019,797
242004172,798
244048177,799
242067195,800
246160361,801
244025103,802
246057079,803
242097163,804
246181034,805
242083290,806
246160299,807
242053066,808
246160343,809
242084249,810
244067081,811
246156583,812
242072084,813
241060025,814
241118100,815
246158202,816
246196143,817
241107191,818
242052335,819
242067351,820
241070500,821
245010260,822
244073171,823
246194134,824
245022172,825
244008004,826
242059213,827
242029068,828
242040180,829
243027005,830
247004231,831
241052046,832
242058133,833
246120141,834
247026040,835
244020053,836
242040098,837
242073197,838
246158352,839
246133141,840
242052118,841
246129207,842
246159189,843
241101453,844
246156134,845
241136151,846
242063017,847
242011004,848
246150155,849
246041164,850
246171104,851
242073055,852
246172161,853
242043052,854
247022020,855
246185080,856
246160555,857
241036017,858
246129281,859
242082223,860
242019603,861
247046259,862
245066063,863
242084223,864
242045035,865
242030014,866
246160062,867
242055354,868
242051224,869
246131187,870
242083429,871
242059014,872
241051007,873
245064014,874
247051533,875
246181168,876
244003035,877
246175078,878
241023107,879
246163138,880
246127145,881
244045030,882
241062094,883
246149316,884
246171112,885
246162134,886
246181169,887
246172133,888
242059270,889
246158194,890
241054204,891
246159160,892
242051421,893
242011093,894
241116403,895
242060395,896
246195072,897
246151189,898
246141305,899
245064015,900
242067384,901
245005528,902
246144222,903
241042429,904
241027048,905
246014168,906
241013109,907
242023071,908
246153383,909
246198074,910
242059344,911
242073388,912
243001080,913
242007167,914
242020254,915
246202285,916
241135396,917
246032195,918
244002084,919
242009224,920
246130153,921
246177089,922
246129129,923
242036191,924
242071050,925
246153144,926
242059232,927
246049191,928
246160113,929
246181107,930
246171199,931
246151045,932
242049456,933
242085072,934
246151122,935
246119129,936
246181173,936
241109202,938
241092190,939
246161618,940
244066131,941
246173038,942
246176037,943
246195143,944
246053021,945
246150020,946
246199105,947
244012080,948
241042145,949
242070090,950
246151058,951
246123287,952
246133031,953
241109275,954
246174088,955
246160153,956
246153414,957
246199064,958
246171037,959
245049291,960
246141216,961
246129141,962
241108166,963
246124076,964
241118052,965
241134490,966
246160340,967
241022392,968
246158559,969
241078128,970
244010055,971
246134082,972
246130003,973
243003439,974
241101411,975
244038274,976
246150025,977
241112262,978
246125065,979
244026070,980
242081202,981
243040067,982
246167499,983
241043009,984
246163477,985
246141090,986
246198109,987
241050192,988
242068184,989
246163485,990
246149291,991
247004094,992
245032130,993
246163027,994
241053264,995
246141123,996
241041205,997
246103253,998
242050471,999
246029137,1000
242058437,1001
246160143,1002
246157224,1003
246156174,1004
246167061,1005
241049520,1006
242054073,1007
246175199,1008
242072420,1009
241068271,1010
246131086,1011
242069068,1012
242079121,1013
242055113,1014
242075649,1015
242020104,1016
247045050,1017
246160110,1018
246129298,1019
246176118,1020
242056034,1021
246151031,1022
241061046,1023
241108147,1024
246148023,1025
242014204,1026
246153399,1027
241068204,1028
242055356,1029
242036068,1030
242052336,1031
246029494,1032
241157139,1033
242088289,1034
246175240,1035
241108014,1036
247013008,1037
246149011,1038
242005335,1039
246163256,1040
246129092,1041
246162393,1042
247016038,1043
246158011,1044
242070013,1045
242021340,1046
246182030,1047
241104539,1048
246171011,1049
245013001,1050
243048094,1051
242008080,1052
246154460,1053
246124067,1054
246167315,1055
246023088,1056
246149566,1057
246156505,1058
246172081,1059
242058079,1060
243007061,1061
246160245,1062
241134501,1063
246148049,1064
246148093,1065
242040037,1066
242093258,1067
246134175,1068
246187015,1069
246191063,1070
242053333,1071
246196295,1072
242015198,1073
246162330,1074
246170018,1075
242048079,1076
241022246,1077
242058255,1078
241045221,1079
247043352,1080
246155054,1081
245056176,1082
241134539,1083
246192253,1084
243005003,1085
242069060,1086
242050427,1087
242077099,1088
246155129,1089
246138082,1090
246150168,1091
246159164,1092
242073494,1093
246153344,1094
246149121,1095
246153439,1096
246148047,1097
247042068,1098
246162355,1099
246157623,1100
242068173,1101
241107098,1102
246144012,1103
246118063,1104
242070005,1105
246141135,1106
242066035,1107
242092161,1108
247035440,1109
246159236,1110
247047249,1111
246149408,1112
246105124,1113
242049128,1114
241093021,1115
246162516,1116
246119184,1117
244009391,1118
246149394,1119
242049055,1120
246035319,1121
246158101,1122
245022316,1123
241109257,1124
245010306,1125
242073126,1126
247016046,1127
245028051,1128
246123056,1129
243005153,1130
243003020,1131
242056280,1132
243001086,1133
243004024,1134
244072093,1135
241002052,1136
247028015,1137
246138113,1138
246153157,1139
246151190,1140
246021190,1141
241056053,1142
245051100,1143
241153111,1144
246147035,1145
246156158,1146
242062058,1147
246162498,1148
241070482,1149
246148116,1150
246168156,1151
246017036,1152
242070157,1153
246144215,1154
242074046,1155
241139071,1156
247030085,1157
246197116,1158
242043612,1159
242016044,1160
244025019,1161
246124131,1162
246156295,1163
242063315,1164
