Adv Roll No,CRL
252081463,1
252064373,2
251134112,3
251110752,4
252016104,5
254065055,6
251113172,7
252052034,8
256156102,9
256061276,10
251109039,11
251006045,12
252082239,13
252058380,14
251047138,15
255053116,16
251028008,17
256055278,18
256131009,19
256132039,20
256135120,21
252067014,22
252071075,23
252011140,24
252079366,25
256033006,26
252071105,27
254007187,28
257018096,29
252021018,30
251110106,31
256165327,32
256021031,33
252048248,34
251043080,35
252104113,36
252081477,37
257022050,38
255037164,39
251108011,40
252019114,41
252046210,42
251014049,43
251108005,44
257001113,45
252065092,46
251018041,47
251007410,48
251049046,49
255067325,50
256050132,51
252079407,52
256131118,53
252056188,54
252098207,55
252081242,56
251060089,57
251004388,58
252079071,59
256132077,60
256135077,61
257006425,62
255058456,63
251006176,64
256138135,65
251020001,66
256166841,67
254044095,68
251109360,69
252069279,70
252092030,71
256168048,72
251137318,73
256164339,74
254042139,75
257017394,76
256147235,77
256057046,78
251057014,79
256096160,80
251055067,81
256055222,82
252008090,83
252016155,84
251015116,85
251022174,86
252070079,87
251049019,88
251105348,89
252020385,90
251113130,91
252062032,92
257032087,93
251008096,94
252079121,95
251138053,96
255040047,97
256057033,98
251044135,99
256135107,100
252053096,101
256145238,102
256169294,103
256019017,104
252104028,105
252057030,106
252005412,107
256053103,108
251138069,109
256053209,110
257020238,111
254002139,112
256043025,113
252062063,114
256057264,115
255010165,116
256128035,117
255006185,118
256139035,119
251017092,120
256137032,121
255064321,122
255030139,123
257012002,124
251111120,125
252088047,126
256158180,127
251141224,128
251112073,129
256166646,130
256146447,131
255012067,132
256040256,133
257027115,134
251115103,135
256136165,136
257023458,137
252066218,138
251120157,139
251138062,140
251111246,141
251052068,142
251054070,143
252099330,144
252020076,145
256020012,146
257016645,147
251108049,148
251116014,149
252099088,150
256019030,151
256022127,152
256166747,153
256096309,154
251007136,155
251050161,156
252101037,157
251110227,158
254013108,159
251110809,160
253004041,161
252055131,162
251050351,163
251045054,164
251110422,165
251046234,166
256126069,167
251007462,168
256028074,169
256159063,170
251050134,171
256196129,172
251110259,173
254011159,174
251142459,175
257051072,176
257012065,177
256110105,178
255021117,179
257017265,180
251049156,181
256055114,182
256004172,183
256061200,184
252099283,185
252039157,186
256135060,187
254042058,188
256155059,189
251125195,190
256145428,191
256071337,192
256055245,193
252080310,194
252083154,195
252103243,196
251108331,197
251108452,198
256164079,199
257012052,200
251044140,201
252099234,202
256135208,203
257017066,204
251047151,205
256109591,206
251143586,207
251042074,208
252013374,209
256165131,210
256058057,211
257012129,212
257002125,213
255021003,214
251051176,215
255013174,216
257027373,217
251044083,218
251023251,219
252057178,220
252030254,221
252067296,222
251131001,223
252013319,224
252053277,225
257020219,226
252022135,227
257021008,228
255068082,229
256169372,230
256021108,231
256165255,232
256053280,233
256166784,234
251159141,235
252012078,236
251009086,237
256139168,238
256061310,239
252083169,240
251130291,241
252046322,242
251108246,243
255017030,244
257020126,245
256133174,246
256169222,247
251134089,248
252068293,249
252099278,250
251142643,251
255051133,252
251121127,253
251007624,254
251052126,255
252023102,256
256028088,257
256087299,258
255021345,259
252019476,260
256061244,261
257019061,262
251108356,263
257001288,264
254013011,265
257016495,266
252039026,267
252034189,268
256134187,269
257026299,270
252064096,271
257028240,272
252060424,273
251051180,274
257012017,275
251141230,276
257053017,277
255006335,278
255013068,279
257022011,280
256028219,281
257015051,282
251017062,283
256055187,284
252019297,285
251164087,286
251045037,287
256109607,288
257043139,289
257016191,290
252081085,291
252100414,292
251147099,293
251028016,294
252104307,295
256029041,296
257015139,297
251143669,298
251050700,299
251110374,300
251019019,301
251130067,302
256160222,303
256159194,304
252063223,305
256137127,306
251146042,307
256060161,308
251056044,309
251147184,310
256045050,311
252104034,312
257021047,313
256097106,314
256152067,315
251141500,316
251057064,317
256140105,318
252101160,319
256150027,320
255010168,321
256100034,322
252103169,323
251049210,324
252016092,325
251110444,326
257017202,327
256057252,328
256099067,329
251043088,330
257006460,331
256039078,332
252007081,333
256010035,334
251050666,335
257016284,336
252093284,337
251060064,338
256016080,339
256058105,340
257022053,341
251138050,342
257042032,343
251045076,344
256051188,345
256130080,346
251020185,347
255063003,348
257017206,349
251142122,350
251111060,351
256057334,352
252100379,353
251004288,354
252092174,355
252014213,356
256169139,357
251003094,358
256098165,359
251027033,360
256057017,361
252016175,362
252008152,363
256168169,364
252098140,365
251008002,366
256145139,367
256046166,368
251059031,369
256098258,370
256044160,371
252011197,372
255064580,373
256160161,374
251023338,375
257022039,376
252012109,377
251003213,378
251050160,379
256109345,380
252105245,381
257002286,382
251105226,383
256148344,384
255027330,385
256057073,386
256167417,387
256121324,388
251046059,389
251046026,390
256022139,391
256105034,392
252019244,393
255039042,394
255053075,395
256060054,396
251049112,397
252013039,398
256137076,399
256061301,400
252015241,401
252101350,402
252080425,403
254002426,404
252086087,405
256156076,406
251057021,407
254033320,408
252013462,409
256147143,410
251146142,411
256053228,412
251146048,413
254043435,414
256145365,415
257028134,416
251143679,417
251026089,418
255013003,419
251115198,420
254016173,421
256131146,422
257017321,423
255064197,424
257017226,425
256071336,426
254003363,427
252032165,428
256166133,429
254020356,430
256144039,431
255006456,432
251110457,433
254020234,434
254016166,435
252007279,436
252055056,437
256022030,438
252080345,439
251042240,440
256061090,441
255011114,442
256089059,443
257001209,444
252063217,445
257042012,446
256010099,447
252105029,448
252081216,449
251110622,450
252012092,451
251043129,452
256170178,453
256053349,454
252017345,455
252096186,456
251050319,457
251110766,458
251015189,459
257028410,460
256054076,461
255065223,462
257004274,463
251053141,464
256099014,465
256071148,466
256166287,467
256051573,468
251042158,469
251002020,470
253022325,471
251110395,472
251101348,473
252062074,474
257020137,475
252027296,476
255064553,477
253004081,478
256139128,479
256044144,480
252049024,481
257017152,482
252099093,483
251004126,484
251111008,485
251050554,486
251108308,487
251122154,488
255031269,489
251116016,490
251044330,491
251120263,492
252032347,493
256170170,494
252082099,495
257017340,496
256180085,497
251121106,498
252080292,499
251050413,500
256165056,501
252058273,502
252054225,503
251050404,504
252003112,505
257017293,506
251110250,507
252057245,508
251050342,509
255013118,510
251070086,511
256129283,512
256136101,513
256162304,514
252104177,515
254037275,516
252084108,517
257023089,518
251118064,519
255064395,520
251060027,521
251104092,522
256145461,523
256170234,524
251019048,525
256059176,526
251113041,527
257005199,528
253025224,529
251145301,530
252009206,531
253014030,532
251071493,533
256108060,534
256167428,535
257049031,536
252099163,537
256095302,538
251050130,539
252047317,540
252105102,541
252081524,542
251131091,543
256170418,544
255007233,545
257017069,546
256059023,547
252098244,548
255029152,549
256166267,550
255005108,551
251044007,552
251143189,553
252080135,554
252100086,555
257022094,556
255006261,557
251009054,558
251033010,559
252024185,560
251054078,561
251003220,562
257020300,563
251050659,564
256020011,565
252101386,566
251044197,567
252052132,568
254037139,569
257027377,570
252060146,571
254001331,572
252018273,573
