Adv Roll No,CRL,SC
254044095,68,1
256045050,311,2
252016175,362,3
254043435,414,4
255031269,489,5
252063021,655,6
256146274,723,7
257034063,728,8
252101175,730,9
256095485,789,10
256017013,900,11
255037057,934,12
252100297,961,13
256162047,976,14
255006051,1007,15
252014078,1183,16
251122023,1238,17
251053084,1277,18
254039204,1283,19
256004202,1303,20
252098097,1314,21
251014202,1328,22
254007165,1378,23
255053200,1397,24
255067406,1435,25
251110192,1703,26
256028078,1704,27
256158130,1767,28
254041109,1930,29
257016400,1984,30
251101338,2033,31
254011406,2161,32
251119102,2178,33
257049220,2424,34
256058054,2478,35
256038137,2481,36
252035255,2484,37
251041068,2493,38
251003008,2572,39
255066248,2603,40
256028443,2660,41
256046090,2665,42
256043340,2707,43
257013466,2717,44
257011038,2934,45
251042412,2937,46
251004095,2997,47
256019066,3066,48
251057062,3109,49
251058059,3118,50
251141607,3132,51
256040064,3180,52
252101140,3209,53
252070053,3217,54
252104144,3265,55
257018113,3267,56
252046011,3273,57
255036058,3296,58
252068277,3342,59
255056019,3358,60
256111208,3431,61
251121171,3465,62
251153022,3482,63
256160171,3503,64
255066140,3529,65
256134183,3530,66
252005343,3544,67
251014193,3547,68
252036052,3592,69
251160092,3596,70
252046299,3721,71
252097025,3761,72
256172120,3851,73
251141601,3926,74
252064147,3951,75
251004022,3958,76
255056131,4115,77
257015195,4120,78
254015021,4122,79
254010050,4132,80
252010335,4233,81
255055355,4259,82
256111390,4282,83
256156114,4309,84
256096137,4318,85
251141152,4344,86
257013199,4358,87
251114076,4395,88
252072195,4407,89
256170616,4423,90
255053007,4442,91
251007255,4474,92
251122115,4503,93
251136218,4517,94
255020051,4552,95
255021876,4569,96
257038038,4573,97
254014012,4582,98
255058339,4590,99
255056106,4596,100
252003095,4680,101
251119093,4691,102
251108471,4694,103
256035213,4705,104
256126046,4707,105
257014512,4798,106
251044188,4801,107
256071080,4806,108
251115141,4884,109
256127247,4980,110
256137117,5022,111
252101228,5210,112
251057099,5229,113
254043178,5308,114
256107011,5341,115
254039065,5352,116
256042228,5362,117
256019110,5378,118
251047342,5412,119
252049036,5423,120
256170608,5437,121
256119118,5482,122
257040185,5567,123
252095073,5587,124
256147174,5597,125
257035112,5598,126
252060289,5619,127
255064224,5646,128
252010158,5671,129
251044170,5729,130
256071076,5819,131
257037322,5966,132
255055200,5977,133
254008083,6057,134
255062042,6094,135
256149217,6178,136
257020448,6236,137
251047236,6282,138
253025019,6295,139
255018128,6296,140
252032308,6374,141
251074084,6375,142
256068037,6393,143
251143447,6464,144
252020235,6516,145
254050488,6522,146
253007110,6594,147
253001187,6636,148
251136033,6663,149
251110734,6696,150
257020035,6745,151
253049304,6750,152
256048042,6751,153
252043047,6821,154
251148007,6829,155
252100193,6865,156
252006301,6883,157
255052125,6940,158
251045229,6958,159
256146435,6967,160
256130046,6975,161
251007249,7012,162
251121242,7024,163
251133043,7052,164
252102006,7059,165
251058022,7062,166
251007336,7183,167
252054210,7207,168
255015097,7396,169
251123139,7456,170
257004278,7459,171
255006317,7484,172
252053077,7486,173
254001258,7487,174
251125380,7515,175
254038170,7558,176
252079216,7575,177
256109056,7588,178
252098220,7663,179
252053132,7674,180
251141314,7716,181
256143060,7748,182
256170373,7754,183
251042209,7799,184
257015161,7940,185
254004153,8025,186
252010128,8030,187
252053065,8065,188
255048018,8124,189
257018177,8132,190
257020176,8179,191
252084386,8182,192
255055036,8193,193
252038077,8251,194
252076124,8261,195
254017060,8308,196
254043425,8384,197
252035193,8403,198
251118276,8469,199
256169113,8512,200
252045168,8513,201
255064159,8544,202
256121020,8562,203
257027328,8577,204
256130158,8589,205
255013230,8667,206
251060085,8668,207
252097160,8688,208
256097211,8718,209
255023202,8731,210
252031514,8744,211
257019113,8746,212
256165267,8753,213
254064178,8762,214
252080387,8774,215
257005284,8951,216
257029295,9010,217
257014735,9032,218
255021186,9046,219
256101089,9083,220
251141586,9090,221
251123163,9105,222
