Adv Roll No,SC
254044095,1
256045050,2
252016175,3
254043435,4
255031269,5
252063021,6
256146274,7
257034063,8
252101175,9
256095485,10
256017013,11
255037057,12
252100297,13
256162047,14
255006051,15
252014078,16
251122023,17
251053084,18
254039204,19
256004202,20
252098097,21
251014202,22
254007165,23
255053200,24
255067406,25
251110192,26
256028078,27
256158130,28
254041109,29
257016400,30
251101338,31
254011406,32
251119102,33
257049220,34
256058054,35
256038137,36
252035255,37
251041068,38
251003008,39
255066248,40
256028443,41
256046090,42
256043340,43
257013466,44
257011038,45
251042412,46
251004095,47
256019066,48
251057062,49
251058059,50
251141607,51
256040064,52
252101140,53
252070053,54
252104144,55
257018113,56
252046011,57
255036058,58
252068277,59
255056019,60
256111208,61
251121171,62
251153022,63
256160171,64
255066140,65
256134183,66
252005343,67
251014193,68
252036052,69
251160092,70
252046299,71
252097025,72
256172120,73
251141601,74
252064147,75
251004022,76
255056131,77
257015195,78
254015021,79
254010050,80
252010335,81
255055355,82
256111390,83
256156114,84
256096137,85
251141152,86
257013199,87
251114076,88
252072195,89
256170616,90
255053007,91
251007255,92
251122115,93
251136218,94
255020051,95
255021876,96
257038038,97
254014012,98
255058339,99
255056106,100
252003095,101
251119093,102
251108471,103
256035213,104
256126046,105
257014512,106
251044188,107
256071080,108
251115141,109
256127247,110
256137117,111
252101228,112
251057099,113
254043178,114
256107011,115
254039065,116
256042228,117
256019110,118
251047342,119
252049036,120
256170608,121
256119118,122
257040185,123
252095073,124
256147174,125
257035112,126
252060289,127
255064224,128
252010158,129
251044170,130
256071076,131
257037322,132
255055200,133
254008083,134
255062042,135
256149217,136
257020448,137
251047236,138
253025019,139
255018128,140
252032308,141
251074084,142
256068037,143
251143447,144
252020235,145
254050488,146
253007110,147
253001187,148
251136033,149
251110734,150
257020035,151
253049304,152
256048042,153
252043047,154
251148007,155
252100193,156
252006301,157
255052125,158
251045229,159
256146435,160
256130046,161
251007249,162
251121242,163
251133043,164
252102006,165
251058022,166
251007336,167
252054210,168
255015097,169
251123139,170
257004278,171
255006317,172
252053077,173
254001258,174
251125380,175
254038170,176
252079216,177
256109056,178
252098220,179
252053132,180
251141314,181
256143060,182
256170373,183
251042209,184
257015161,185
254004153,186
252010128,187
252053065,188
255048018,189
257018177,190
257020176,191
252084386,192
255055036,193
252038077,194
252076124,195
254017060,196
254043425,197
252035193,198
251118276,199
256169113,200
252045168,201
255064159,202
256121020,203
257027328,204
256130158,205
255013230,206
251060085,207
252097160,208
256097211,209
255023202,210
252031514,211
257019113,212
256165267,213
254064178,214
252080387,215
257005284,216
257029295,217
257014735,218
255021186,219
256101089,220
251141586,221
251123163,222
254043403,223
251062035,224
252095057,225
254011439,226
252069056,227
255032082,228
256165324,229
251101267,230
251160095,231
251016059,232
252017134,233
251091042,234
255055112,235
252065219,236
251048040,237
251119163,238
255036004,239
252003146,240
256146140,241
252014189,242
251042244,243
251142351,244
251061182,245
255046007,246
252076055,247
255066283,248
252058293,249
257006422,250
251056022,251
252069039,252
256120082,253
256167060,254
251051024,255
257004368,256
252052226,257
251050324,258
251150064,259
252064165,260
251098035,261
257032136,262
252105250,263
252017012,264
257001010,265
252032225,266
256055015,267
251122019,268
252019124,269
256043420,270
251019154,271
255055075,272
251091085,273
257023440,274
256045138,275
252031091,276
256055287,277
256061078,278
251007564,279
256054103,280
251130124,281
251103082,282
256057412,283
251030070,284
256089347,285
251005125,286
256051118,287
252058006,288
256019099,289
253049438,290
254043155,291
256032501,292
251112026,293
255068074,294
252018136,295
255044014,296
254034066,297
255015273,298
255067366,299
256072094,300
253046143,301
252044031,302
256173136,303
255059138,304
252077135,305
256071249,306
251109235,307
251123167,308
251037037,309
252039175,310
254006075,311
257019093,312
255063464,313
254001177,314
257008071,315
256148236,316
251142463,317
252096086,318
255066163,319
252065011,320
252028097,321
255060078,322
251117581,323
251120147,324
252097118,325
251030048,326
253049079,327
251154003,328
256149199,329
256123013,330
252100073,331
251075013,332
255021775,333
252073147,334
251117613,335
256196157,336
252068039,337
252030186,338
251056005,339
254061076,340
251121243,341
256055301,342
256071314,343
255016090,344
257017365,345
254033381,346
256059203,347
255044071,348
256164309,349
255058270,350
257020084,351
251137291,352
256167191,353
252093288,354
251137324,355
251141083,356
255067203,357
257013361,358
251110810,359
251070243,360
251117369,361
252010124,362
257020197,363
254065222,364
257039376,365
251071588,366
256033044,367
251047080,368
252102115,369
251097057,370
254017263,371
256114058,372
256145269,373
252006214,374
257049316,375
252018237,376
251064075,377
256174510,378
251120330,379
252081232,380
252071211,381
252093232,382
256119191,383
252073412,384
256146061,385
252027438,386
251130247,387
253049061,388
251067232,389
253009096,390
251050453,391
251113042,392
251124124,393
251041004,394
256047117,395
256046153,396
256147450,397
251119063,398
252031372,399
251110437,400
255065272,401
254043043,402
257054294,403
256178007,404
254004126,405
254016176,406
252053099,407
257018224,408
255067364,409
256115059,410
256055290,411
256125170,412
251094160,413
256016006,414
256044121,415
256171255,416
256121059,417
252055139,418
254057077,419
256146382,420
255002035,421
251007372,422
254060072,423
256139088,424
251091151,425
257039437,426
252008149,427
256010029,428
257016268,429
257045198,430
252028112,431
257040338,432
257043136,433
252079341,434
256047216,435
256057020,436
252027174,437
252080423,438
254004457,439
256109118,440
256157027,441
251003102,442
251158129,443
257026436,444
252081499,445
254027270,446
255048042,447
251130262,448
251164010,449
255058195,450
251045053,451
251122042,452
256047001,453
256170269,454
251143034,455
252079055,456
254005315,457
254025081,458
251146239,459
252018280,460
257045461,461
252100101,462
255016053,463
254005440,464
252066184,465
254049016,466
257017316,467
256045171,468
257040086,469
251042420,470
256058037,471
252040011,472
256162098,473
253049057,474
255003058,475
256174303,476
255061113,477
253049475,478
254033068,479
255063244,480
251050697,481
251123026,482
255021315,483
256045195,484
251032096,485
253030143,486
251089178,487
256097090,488
252031356,489
256121252,490
253017059,491
252010119,492
254030113,493
252073262,494
254007031,495
251050326,496
252086166,497
255030510,498
251138046,499
251050358,500
251138042,501
257001423,502
252031465,503
256038160,504
252098026,505
252076042,506
255063163,507
252099162,508
254036113,509
251048228,510
252049342,511
255039022,512
251111151,513
255066181,514
252084225,515
254060144,516
257002323,517
252092374,518
254044160,519
252052082,520
253002023,521
251123128,522
255059033,523
253022889,524
254065249,525
254042376,526
256052228,527
251142224,528
251112092,529
254043453,530
252013458,531
253047118,532
252019197,533
255066019,534
254045113,535
253039047,536
256161341,537
254001260,538
252016238,539
256162348,540
252101235,541
255065294,542
256058345,543
252060087,544
255006049,545
252004388,546
257029130,547
252035078,548
251113069,549
252084101,550
257023448,551
251048235,552
251013005,553
251027021,554
256099169,555
256043206,556
256169093,557
257045192,558
254042249,559
256150046,560
256148383,561
254006136,562
254063159,563
257014372,564
254035368,565
257037387,566
252060456,567
256061327,568
251149008,569
255065185,570
255063079,571
257034370,572
252047111,573
251007392,574
256019179,575
255064201,576
256019058,577
253030027,578
256181033,579
257052125,580
257054329,581
251112097,582
254034148,583
252052206,584
254004357,585
256170435,586
256166128,587
255064518,588
257023224,589
255064079,590
252040077,591
256057416,592
257034083,593
256055328,594
251146281,595
254023088,596
252061054,597
252070052,598
257032100,599
251051094,600
254032348,601
257043306,602
256195323,603
251007061,604
252010216,605
257037281,606
253046135,607
251143170,608
256003092,609
253033085,610
252056397,611
252013266,612
253030073,613
251121166,614
257001444,615
256043504,616
254025176,617
257040089,618
252101338,619
251016040,620
252080418,621
251161036,622
251118339,623
253049246,624
255017477,625
252098160,626
254030381,627
256147476,628
256095133,629
255053178,630
253024254,631
255009058,632
257016603,633
253049628,634
257022240,635
252105145,636
256057296,637
251122200,638
251135136,639
252061162,640
252085034,641
252054043,642
256106481,643
252082032,644
255058378,645
251039264,646
255066577,647
251109067,648
252004543,649
