Adv Roll No,CRL,ST
252098207,55,1
251043088,330,2
251007330,980,3
255021050,990,4
256179210,1353,5
252070217,1743,6
256161111,1762,7
256052031,2335,8
256058278,2545,9
251045252,2605,10
251042258,2787,11
256170570,2856,12
256170663,3039,13
252033146,3062,14
256133037,3138,15
252031669,3190,16
256125257,3193,17
252057083,3249,18
256192028,3463,19
251061048,3701,20
251117523,3843,21
256169390,4159,22
251113139,4747,23
252047373,4815,24
256131072,4896,25
256127145,5099,26
256127213,5264,27
256166096,5367,28
256161284,5721,29
252014012,5746,30
255013091,6248,31
256134045,6455,32
256134030,6564,33
252080403,6588,34
254005439,6706,35
251050129,6842,36
252053204,7033,37
256045069,7110,38
252080366,7168,39
252063062,7348,40
252093123,7448,41
252031385,7479,42
251022019,7491,43
256146044,7507,44
251014145,7553,45
252058290,7557,46
252004230,7565,47
252073127,7614,48
251110838,7731,49
251008033,7822,50
256126134,7840,51
252032003,7844,52
254055192,7902,53
255041116,8041,54
256127186,8339,55
256126136,8735,56
252092349,9002,57
251146181,9076,58
256061134,9267,59
251117247,9311,60
255011084,9725,61
252051339,9783,62
256147239,9839,63
256135115,10336,64
256125062,10630,65
256159327,10683,66
256057273,10694,67
256152005,10716,68
252085162,10773,69
251004449,10788,70
256147226,10819,71
256164240,10924,72
252065117,11075,73
252088113,11211,74
255013001,11221,75
256195171,11384,76
256019060,11620,77
256159157,11638,78
251041120,11754,79
256072037,11882,80
252038096,11978,81
252031585,11981,82
256132004,11991,83
251057061,11995,84
256167132,12205,85
256106313,12237,86
256146482,12406,87
256147082,12445,88
256147168,12801,89
251142352,12816,90
252038407,12892,91
252081185,12975,92
257037220,12998,93
255030041,13021,94
256169340,13085,95
252054185,13358,97
256151038,13416,98
252059084,13468,99
251068260,13616,100
256135172,13893,101
256175311,13907,102
251051179,13977,103
251143595,13990,104
256147147,14183,105
256166285,14232,106
252041034,14375,107
256149013,14429,108
253007090,14498,109
256147348,14563,110
256055223,14676,111
251070318,14737,112
256146432,14924,113
256071168,15281,114
256178179,15294,115
252070156,15308,116
256165077,15320,117
256166347,15342,118
251126011,15380,119
256167407,15392,120
251059012,15514,121
251021307,15615,122
256144034,15679,123
256140046,15710,124
256047005,15737,125
252064415,15759,126
257029162,15878,127
256167029,15963,128
252044077,15969,129
252040021,15977,130
256146439,16120,131
256146206,16217,132
251141303,16248,133
251054144,16288,134
252065089,16302,135
251054049,16447,136
255039104,16678,137
255004296,16881,138
253007057,16964,139
251105045,17327,140
251147081,17396,141
251007466,17503,142
251074156,17504,143
256198174,17577,144
252019121,17732,145
256141017,17788,146
256180034,17799,147
256147242,17840,148
256167277,17961,149
256168283,18051,150
255013255,18114,151
251028051,18115,152
256169018,18205,153
256147391,18266,154
256126055,18400,155
253002243,18432,156
252060013,18456,157
251148146,18478,158
254012459,18628,159
252088028,18642,160
251057078,18800,161
256146442,18807,162
257053109,18913,163
254002081,19031,164
252057108,19096,165
256172029,19118,166
253049041,19128,167
257029167,19177,168
256165434,19191,169
256179200,19220,170
256158165,19302,171
252006339,19398,172
252058335,19408,173
256032382,19411,174
256061210,19595,175
251033027,19784,176
256137021,20146,177
256125065,20292,178
252060318,20317,179
256129105,20320,180
257049247,20346,181
253007117,20484,182
252051120,20631,183
256169195,20825,184
252034097,20874,185
256129051,20940,186
251026017,21122,187
252033094,21148,188
251141172,21152,189
256177032,21164,190
252078065,21211,191
256155027,21400,192
256170300,21650,193
256056002,21675,194
256071261,21705,195
256195154,21746,196
256164212,21822,197
256146130,21850,198
255017228,21996,199
251040086,22062,200
256138011,22217,201
254001036,22394,202
253002006,22405,203
256168251,22530,204
256175245,22539,205
254016089,22637,206
256178122,22713,207
252031438,22726,208
256135105,22935,209
251110510,23233,210
256179198,23373,211
252056144,23471,212
252031040,23654,213
252049140,23787,215
257043467,23808,216
256145097,23883,217
256129291,24085,218
251146283,24101,219
252092412,24161,220
254005476,24187,221
252031375,24219,222
256059235,24258,223
252031309,24269,224
253049440,24287,225
256145192,24322,226
256170008,24407,227
257049188,24503,228
251130269,24567,229
256170552,24580,230
257031076,24588,231
251105213,24961,232
256179188,24994,233
256140082,25014,234
256146221,25066,235
252050487,25076,236
256170745,25084,237
256159332,25277,238
255023298,25411,239
255067170,25435,240
251014177,25489,241
252059064,25509,242
252098041,25532,243
256133231,25643,244
256145095,25659,245
256043278,25702,246
256035308,25899,247
251159236,25986,248
252081419,26088,250
252061104,26166,251
251143299,26203,252
256143064,26295,253
256115301,26314,254
252072093,26361,255
252046298,26520,256
256014084,26550,257
256175053,26668,258
251068309,26672,259
252067088,26771,260
252064098,26871,261
252059296,26909,262
252094065,27115,263
256144074,27144,264
256179171,27153,265
256163022,27177,266
252027300,27289,267
252065069,27422,268
253022023,27481,269
256055212,27579,270
251068076,27623,271
256182115,27630,272
256175092,27691,273
256173195,27831,274
254063007,27855,275
253001104,27859,276
256166211,27935,277
256148375,28187,278
251161017,28229,279
252093208,28258,280
256168392,28275,281
256150208,28285,282
256148343,28288,283
252074215,28335,284
256194132,28636,286
256139082,28748,287
252092053,28924,288
254034219,28966,289
256174179,29056,290
255032044,29059,291
256132124,29087,292
254061126,29195,293
252050297,29241,294
255011145,29375,295
256172040,29412,296
256149036,29455,297
256174255,29490,298
256166460,29535,300
256185074,29580,301
252077188,29584,302
252006101,29649,303
256141039,29721,305
252049305,29756,306
254020388,29797,307
251130148,29813,308
256136146,29835,309
256182095,29837,310
256146149,29980,311
252049202,29997,312
251111083,30088,314
256125194,30113,315
252050294,30152,316
256158161,30199,317
251139147,30274,318
253046176,30416,319
256145463,30421,320
251091249,30440,321
256169078,30460,322
253007155,30474,323
251145159,30496,324
253003455,30543,325
251148125,30553,326
252047224,30627,327
254004219,30726,328
255036016,30754,329
252060295,30950,331
256125291,30977,332
252060140,31207,333
252033182,31212,334
254017004,31232,335
251067397,31244,336
256147146,31453,337
256161439,31488,338
251105389,31564,339
253001186,31571,340
251132055,31657,341
256147129,31775,342
256136140,31778,343
251114038,31836,344
252043081,31926,345
256051092,31999,346
256148082,32108,347
256156062,32207,348
256035143,32218,349
251066178,32247,350
256157147,32332,351
252064262,32499,353
251054146,32531,354
257020027,32549,355
257028335,32616,356
256017017,32666,357
257028291,32818,358
251050652,32899,359
