Adv Roll No,CRL
242063225,1
242017255,2
246136003,3
247025176,4
246150349,5
241016176,6
241018077,7
246053078,8
241106162,9
246119101,10
245005057,11
242053073,12
246154446,13
247004173,14
241050058,15
242072080,16
241104226,17
242101115,18
242030069,19
241050091,20
241133677,21
247004503,22
247019236,23
242022136,24
246119193,25
241109294,26
242002218,27
242031290,28
241115085,29
241041124,30
242014288,31
246158414,32
247019253,33
246053446,34
242055076,35
241042284,36
241049201,37
241019087,38
241135681,39
242052079,40
242015339,41
246096018,42
242027289,43
247003450,44
246011188,45
242004280,46
241107018,47
246101674,48
241021073,49
246020087,50
246161542,51
242036276,52
241053089,53
246056017,54
246022079,55
242032221,56
242067130,57
241129017,58
245014078,59
242056077,60
241107103,61
246056043,62
246163469,63
241102452,64
242058452,65
241007021,66
241055077,67
247004363,68
243052649,69
246124096,70
246008172,71
246121186,72
242050263,73
242050438,74
244009073,75
246154128,76
242054030,77
241042268,78
241121093,79
241054103,80
241019039,81
242014235,82
242026030,83
246092109,84
245058146,85
245022239,86
241113047,87
241006043,88
242061031,89
241101225,90
242057008,91
246161116,92
247007101,93
241110162,94
242050207,95
243035068,96
246162250,97
247022170,98
242057318,99
246016038,100
242105105,101
241005123,102
241108223,103
246055021,104
242059343,105
242009194,106
241030122,107
242034342,108
245040149,109
247006420,110
242093264,111
246049112,112
241050204,113
241049215,114
241048137,115
241041007,116
246156319,117
241003724,118
241049137,119
242018022,120
242033038,121
246056076,122
241052114,123
247004085,124
241045213,125
246055015,126
242022003,127
242067024,128
242025399,129
241134090,130
244015577,131
241108150,132
242030277,133
246036009,134
242058091,135
242067178,136
242101385,137
242105064,138
241102106,139
241014100,140
246121018,141
246130146,142
241103303,143
241115011,144
242093054,145
241045043,146
241020166,147
242063064,148
241107102,149
241042436,150
246015023,151
242025412,152
247004531,153
246159494,154
242011194,155
242001104,156
242063121,157
242073433,158
241102264,159
242071012,160
245062513,161
242066073,162
244021228,163
246105118,164
246055043,165
246162538,166
246123273,167
242066097,168
246157552,169
245008205,170
242057068,171
246008079,172
246158698,173
246140128,174
246053573,175
241050035,176
241108168,177
242016187,178
247004339,179
241112059,180
246158102,181
241052032,182
246157235,183
246090320,184
246156185,185
246153479,186
241128171,187
241022078,188
246144176,189
246163154,190
244014030,191
246160320,192
242058177,193
242002103,194
242008014,195
245040040,196
241107041,197
241003014,198
246157011,199
242026168,200
246149438,201
246124056,202
246145001,203
246008027,204
246092091,205
246022237,206
247003169,207
241106223,208
242023120,209
241053336,210
246121222,211
242056298,212
246133036,213
241064263,214
246012118,215
241049645,216
246144235,217
241084043,218
242094075,219
242034020,220
242015310,221
241033134,222
246014072,223
241051074,224
247024295,225
245058445,226
246133055,227
247003483,228
241101541,229
246052391,230
242054054,231
241134576,232
246049230,233
247018365,234
246055173,235
246014058,236
242017158,237
246156296,238
246091116,239
241026022,240
247023073,241
247004109,242
247024224,243
246023025,244
246163031,245
241020138,246
246129167,247
247023178,248
246133127,249
242043315,250
246161576,251
246023142,252
246012217,253
241111218,254
245008066,255
247024314,256
242101205,257
241026029,258
242061064,259
241123027,260
241109556,261
246156248,262
241104390,263
247004279,264
246149232,265
242081196,266
241134494,267
246157161,268
246027268,269
242020006,270
246027205,271
241043184,272
241069266,273
246050072,274
247004099,275
241003384,276
242052259,277
242069181,278
243052366,279
242003183,280
241140071,281
247003324,282
247045097,283
242032367,284
243003098,285
246138129,286
242053165,287
246127085,288
241005064,289
241049647,290
247009207,291
242051427,292
246096076,293
242075159,294
242066080,295
241045068,296
246154286,297
242018319,298
241042055,299
242030128,300
246130165,301
241048118,302
241013074,303
245058176,304
245031203,305
244021134,306
247005007,307
246053416,308
241053022,309
241137096,310
246159515,311
241034068,312
242007042,313
244025398,314
247011276,315
247021111,316
241023392,317
245067005,318
244049050,319
242013131,320
241022058,321
246162014,322
246150026,323
246047026,324
241127095,325
245016119,326
241022292,327
247053127,328
246119210,329
241069122,330
241034146,331
242023117,332
246022206,333
246161598,334
246011118,335
246048290,336
242047122,337
241133067,338
242025292,339
247022146,340
242035361,341
241007167,342
243019031,343
242074031,344
242008059,345
244047220,346
241045138,347
246068074,348
241053152,349
241060058,350
242055218,351
241134044,352
246055070,353
246094025,354
246053304,355
247007118,356
245056286,357
241022285,358
247019130,359
241004179,360
241104444,361
241041077,362
246166124,363
242013222,364
247023189,365
244036085,366
241102382,367
242057314,368
242027180,369
246094021,370
244048195,371
245031103,372
247004571,373
245011051,374
244043158,375
241138210,376
247010145,377
246057006,378
246161612,379
246158209,380
242001274,381
242007031,382
242093279,383
242043211,384
242102296,385
242003214,386
241133172,387
247022377,388
241107026,389
246102113,390
242055283,391
242013085,392
246161048,393
246083291,394
246126065,395
242093174,396
244039046,397
242030283,398
245009358,399
241103431,400
246052333,401
246127096,402
245054103,403
241108224,404
246153250,405
246147067,406
242086205,407
242092044,408
241054036,409
246145035,410
242031359,411
244001373,412
242101282,413
242021048,414
245027112,415
246151143,416
244010057,417
246161257,418
241046045,419
246014092,420
241052089,421
242042308,422
246111258,423
244011056,424
242057243,425
247018223,426
247011342,427
241049288,428
245006300,429
242083154,430
246163346,431
241051006,432
244065352,433
246149001,434
247003484,435
246019042,436
246091381,437
241032037,438
246066023,439
246138107,440
241104017,441
246088646,442
241014030,443
247024022,444
242006042,445
246150040,446
241044132,447
242029194,448
241044102,449
242058252,450
246048052,451
246135189,452
242016291,453
246124066,454
247018324,455
241016036,456
246094225,457
241049592,458
247053114,459
246163067,460
246090271,461
241052220,462
242049373,463
241115103,464
247004559,465
245069195,466
245066338,467
241052116,468
246054042,469
245057177,470
241107116,471
241014166,472
