Adv Roll No,SC
245058146,1
246124056,2
246133127,3
246094025,4
242013222,5
241014166,6
242020175,7
241037012,8
242045094,9
246157576,10
245054061,11
246154129,12
242051274,13
244036114,14
246023010,15
241004004,16
245057226,17
241139002,18
246207066,19
246142074,20
247019009,21
245039141,22
242031228,23
241101350,24
246157667,25
246019037,26
241109579,27
244033087,28
242075712,29
244049030,30
245024033,31
247001017,32
241105144,33
241107067,34
244046307,35
241050053,36
245014025,37
247018394,38
242026051,39
241131040,40
247003322,41
241042025,42
246088362,43
246183040,44
246052261,45
241102356,46
241032193,47
242069035,48
241004030,49
242103211,50
246153396,51
245065465,52
246119187,53
246162380,54
241017121,55
242009097,56
245063077,57
242078136,58
244015038,59
241043231,60
245062341,61
246128026,62
243024399,63
246129195,64
241007113,65
244015148,66
243023006,67
246027067,68
246158603,69
246149256,70
242042088,71
242096098,72
246045088,73
241128107,74
241109524,75
242052077,76
243052275,77
245031161,78
246174070,79
242014049,80
245010372,81
247053331,82
245049133,83
242083340,84
244012040,85
246016036,86
241003169,87
246032141,88
241058120,89
243052446,90
242017385,91
242034333,92
246035057,93
246173019,94
245064021,95
241071158,96
246045040,97
245062360,98
245010631,99
241135567,100
241028142,101
246154184,102
246161508,103
242051096,104
245006324,105
244002167,106
245056272,107
245052358,108
245020472,109
245058160,110
241111002,111
245063539,112
245032344,113
245002113,114
242008229,115
247027187,116
246020095,117
241052241,118
246090203,119
241137033,120
241053091,121
245066381,122
241051088,123
242056032,124
241130050,125
247003386,126
242054178,127
243031274,128
241042193,129
247024286,130
245064229,131
247050010,132
241112332,133
242056463,134
241111146,135
246128058,136
241135635,137
246094185,138
246163637,139
243052568,140
246156303,141
241128032,142
241094018,143
241043144,144
247004297,145
241096088,146
242077307,147
241018085,148
241153016,149
241113185,150
245008099,151
241057046,152
246154006,153
247021702,154
241122015,155
241054086,156
245061043,157
246088147,158
241112030,159
242083449,160
247003259,161
242046043,162
242003122,163
247049171,164
241061200,165
241078056,166
241064253,167
242097077,168
241111080,169
242059011,170
241111190,171
245062096,172
242078150,173
245058063,174
245058101,175
246153459,176
242097041,177
246162221,178
241042066,179
246008136,180
241055014,181
241056087,182
241094074,183
241149063,184
242027151,185
242019312,186
242030242,187
246128037,188
246039489,189
241130001,190
241133337,191
241049644,192
241049392,193
245020404,194
244015592,195
244026024,196
245009129,197
247027035,198
241042187,199
242001491,200
242004301,201
241099054,202
245017102,203
241092033,204
241032106,205
245065096,206
243052271,207
241114142,208
242075464,209
242049036,210
241130031,211
242096095,212
242011066,213
246159256,214
247004036,215
241054105,216
241020056,217
245064462,218
244021175,219
242091176,220
246015016,221
241134228,222
245005572,223
247050025,224
245062175,225
241110053,226
241109513,227
241041141,228
241054210,229
244013018,230
244011053,231
241055020,232
243039033,233
246148010,234
241017160,235
246042094,236
246049040,237
245064353,238
243052461,239
242030323,240
241113107,241
245066375,242
241110382,243
241053369,244
246173121,245
242061139,246
242019025,247
246163354,248
242049290,249
241108076,250
246029230,251
242014296,252
245063467,253
244053118,254
245057099,255
243037123,256
241102428,257
246097049,258
241130082,259
242021191,260
241052232,261
247052074,262
241113056,263
247024035,264
244054092,265
247021229,266
242030028,267
246050149,268
241053166,269
246159547,270
241128068,271
241043055,272
246114158,273
241116075,274
241047057,275
247053021,276
246130179,277
241049453,278
244033041,279
241046023,280
241007079,281
245067182,282
245066389,283
246166177,284
245058340,285
241114018,286
242030298,287
247003252,288
246109341,289
242075680,290
244015272,291
242078050,292
241045158,293
242088105,294
247013204,295
241017184,296
241045114,297
243052158,298
246018009,299
242045241,300
246056128,301
241049580,302
242023168,303
244040311,304
247025163,305
243052041,306
241115027,307
246135200,308
241050023,309
245005342,310
241101481,311
242074055,312
241018101,313
241131015,314
243050009,315
242007158,316
242070256,317
244034171,318
247051278,319
246044163,320
242077005,321
241083351,322
244044138,323
242024159,324
244008038,325
246158145,326
247019031,327
247018583,328
243021445,329
241050170,330
246191202,331
244021160,332
246055006,333
246173163,334
242032286,335
241083029,336
247039177,337
242016087,338
242074222,339
244008110,340
242040392,341
241049636,342
246135151,343
241070127,344
246045022,345
242024151,346
247011224,347
241133082,348
242093075,349
241049234,350
243052389,351
245066016,352
241135364,353
246017143,354
244021078,355
247046197,356
246039090,357
241042472,358
246099015,359
246065167,360
242021065,361
244016202,362
246165029,363
241058128,364
247053038,365
245009215,366
247044101,367
241033194,368
244036481,369
247032065,370
242004432,371
245058441,372
242030332,373
244055067,374
245065283,375
245054215,376
241005133,377
242051078,378
241116390,379
241051085,380
247018721,381
242009099,382
244057411,383
241003531,384
244010131,385
246035020,386
241049625,387
242096108,388
245037015,389
245005446,390
246049213,391
247031038,392
246154086,393
244068158,394
244009448,395
247018533,396
241133378,397
247018166,398
241135623,399
241011002,400
246081243,401
241117022,402
242075184,403
242036177,404
241051024,405
244047219,406
242044070,407
242101089,408
242093424,409
247003141,410
242040262,411
244010103,412
245020194,413
246158550,414
241054191,415
242001448,416
246014131,417
241109226,418
241054186,419
241026018,420
241124069,421
242084236,422
247038094,423
246042176,424
241049217,425
242005129,426
245020425,427
241081044,428
246012169,429
246052436,430
242053329,431
242091178,432
242007183,433
242077289,434
245023079,435
246026069,436
241087016,437
241053400,438
244025381,439
241114014,440
244053039,441
246027208,442
241043114,443
241083193,444
246055045,445
247041310,446
246050107,447
246123067,448
244036230,449
244071069,450
242053419,451
242078020,452
245027089,453
242050210,454
244037292,455
241009099,456
245058189,457
247051425,458
247038162,459
246044075,460
245059101,461
241137107,462
246144224,463
246161668,464
246035213,465
242071031,466
241086009,467
241017158,468
244003015,469
247010102,470
247041262,471
246053425,472
242025268,473
247024063,474
246103391,475
244033396,476
246150055,477
242011160,478
242004007,479
242075514,480
246122062,481
246162093,482
246191028,483
242043216,484
243052525,485
243011264,486
241150068,487
242078127,488
243004085,489
241004397,490
246012077,491
241116050,492
244002171,493
242090163,494
246016059,495
241139123,496
245064145,497
241134720,498
244077013,499
242016042,500
242065087,501
243052551,502
246155115,503
245063557,504
242072278,505
241134657,506
247029080,507
243037145,508
243034201,509
246161108,510
246157686,511
241075124,512
242009157,513
241102256,514
247016175,515
246163517,516
242046059,517
244002058,518
246173016,519
243022133,520
245058383,521
241110386,522
242031285,523
242003140,524
244014211,525
241111032,526
244053295,527
246158660,528
246149343,529
243011283,530
244014136,531
242036275,532
246041055,533
246163088,534
246134106,535
242014198,536
245057359,537
246119263,538
247036134,539
246035216,540
247036131,541
247010131,542
242030216,543
241119068,544
247043173,545
246148054,546
241025175,547
242101111,548
242091022,549
241100054,550
241094305,551
246035318,552
245067156,553
241080268,554
246056023,555
245066366,556
244046150,557
241053138,558
242086074,559
242026161,560
246012132,561
